year,rank,artist,title,wiki.url,songlyrics.url,lyrics,song.length,label,genre,line_repeat_count,title_repeat_count
1960,1,Percy Faith,"""Theme from A Summer Place""",https://en.wikipedia.org/wiki/Theme_from_A_Summer_Place,https://www.songlyrics.com/percy-faith/theme-from-a-summer-place-lyrics/,"There's a summer place
Where it may rain or storm
Yet I'm safe and warm
For within that summer place
Your arms reach out to me
And my heart is free from all care
For it knows
There are no gloomy skies
When seen through the eyes
Of those who are blessed with love
And the sweet secret of
A summer place
Is that it's anywhere
When two people share
All their hopes
All their dreams
All their love
There's a summer place
Where it may rain or storm
Yet I'm safe and warm
In your arms, in your arms
In your arms, in your arms
In your arms, in your arms",2:25,Columbia/CBS Records,"Easy listening, waltz",9,0
1960,2,Jim Reeves,"""He'll Have to Go""",https://en.wikipedia.org/wiki/He%27ll_Have_to_Go,https://www.songlyrics.com/jim-reeves/he-ll-have-to-go-lyrics/,"Put your sweet lips a little closer to the phone
Let's pretend that we're together all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you, he'll have to go

Whisper to me, tell me do you love me true
Or is he holding you the way I do?
Though love is blind, make up your mind, I've got to know
Should I hang up or will you tell him, he'll have to go?

You can't say the words I want to hear
While you're with another man
Do you want me? Answer yes or no
Darling, I will understand

Put your sweet lips a little closer to the phone
Let's pretend that we're together all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you
He'll have to go",2:20,RCA Victor,"Country, Nashville Sound",6,3
1960,3,The Everly Brothers,"""Cathy's Clown""",https://en.wikipedia.org/wiki/Cathy%27s_Clown_(The_Everly_Brothers_song),https://www.songlyrics.com/the-everly-brothers/cathy-s-clown-lyrics/,"Don't want your love anymore
Don't want your kisses, that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown

I gotta stand tall
You know a man can't crawl
When he knows you're tellin' lies and he hears 'em passing by
He's not a man at all

Don't want your love anymore
Don't want your kisses, that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown

When you see me shed a tear
And you know that it's sincere
Don't you think it's kinda sad that you're treating me so bad
Or don't you even care?

Don't want your love anymore
Don't want your kisses, that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown

That's Cathy's clown
That's Cathy's clown",2:22,Warner Bros.,Pop,14,5
1960,4,Johnny Preston,"""Running Bear""",https://en.wikipedia.org/wiki/Running_Bear,https://www.songlyrics.com/johnny-preston/running-bear-lyrics/,"On the bank of the river stood Running Bear, young Indian brave
On the other side of the river stood his lovely Indian maid
Little White Dove was her name, such a lovely sight to see
But their tribes fought with each other, so their love could never be

Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die

He couldn't swim the raging river 'cause the river was too wide
He couldn't reach the Little White Dove waiting on the other side
In the moonlight he could see her throwing kisses 'cross the waves
Her little heart was beating faster waiting for her Indian brave

Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die

Running Bear dove in the water, Little White Dove did the same
And they swam out to each other through the swirling stream they came
As their hands touched and their lips met, the raging river pulled them down
Now they'll always be together in their happy hunting ground

Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die",2:38,Mercury[4],"Rockabilly, rock and roll",12,8
1960,5,Mark Dinning,"""Teen Angel""",https://en.wikipedia.org/wiki/Teen_Angel_(song),https://www.songlyrics.com/mark-dinning/teen-angel-lyrics/,"Teen angel, teen angel
Teen angel, ooh, ooh

That fateful night
The car was stalled
Upon the railroad track
I pulled you out and we were safe
But you went running back

Teen angel, can you hear me?
Teen angel, can you see me?
Are you somewhere up above
And am I still your own true love

What was it you were looking for
That took your life that night?
They said they found my high school ring
Clutched in your fingers tight

Teen angel, can you hear me?
Teen angel, can you see me?
Are you somewhere up above
And am I still your own true love

Just sweet sixteen and now you're gone
They've taken you away
I'll never kiss your lips again
They buried you today

Teen angel, can you hear me?
Teen angel, can you see me?
Are you somewhere up above
And am I still your own true love

Teen angel, teen angel
Answer me, please",2:42,MGM,Pop,14,11
1960,6,Brenda Lee,"""I'm Sorry""",https://en.wikipedia.org/wiki/I%27m_Sorry_(Brenda_Lee_song),https://www.songlyrics.com/brenda-lee/i-m-sorry-lyrics/,"I'm sorry, so sorry
That I was such a fool
I didn't know
Love could be so cruel
Oh, oh, oh, oh, oh, oh yes

You tell me mistakes
Are part of being young
But that don't right
The wrong that's been done

(I'm sorry) I'm sorry
(So sorry) So sorry
Please accept my apology
But love is blind
And I was too blind to see
Oh, oh, oh, oh, oh, oh, oh yes

You tell me mistakes
Are part of being young
But that don't right
The wrong that's been done
Oh, oh, oh, oh, oh, oh, yes

I'm sorry, so sorry
Please accept my apology
But love was blind
And I was too blind to see
(Sorry)",2:40,Decca Records 9-31093,Countrypolitan,14,4
1960,7,Elvis Presley,"""It's Now or Never""",https://en.wikipedia.org/wiki/It%27s_Now_or_Never_(song),https://www.songlyrics.com/elvis-presley/it-s-now-or-never-lyrics/,"It's now or never
Come hold me tight
Kiss me my darling
Be mine tonight

Tomorrow will be too late
It's now or never
My love won't wait

When I first saw you
With your smile so tender
My heart was captured
My soul surrendered

I spent a lifetime
Waiting for the right time
Now that you're near
The time is here, at last

It's now or never
Come hold me tight
Kiss me my darling
Be mine tonight

Tomorrow will be too late
It's now or never
My love won't wait

Just like a willow
We would cry an ocean
If we lost true love
And sweet devotion

Your lips excite me
Let your arms invite me
For who knows when
We'll meet again this way

It's now or never
Come hold me tight
Kiss me my darling
Be mine tonight

Tomorrow will be too late
It's now or never
My love won't wait

It's now or never
My love won't wait

It's now or never
My love won't wait
It's now or never
My love won't wait",3:15,RCA Victor,Pop,27,9
1960,8,Jimmy Jones,"""Handy Man""",https://en.wikipedia.org/wiki/Handy_Man_(song),https://www.songlyrics.com/jimmy-jones/handy-man-lyrics/,"Hey girls, gather round
Because of what I'm puttin' down
Oh, baby, I'm your handy man
I'm not the kind that uses pencil or rule
I'm handy with the love and I'm no fool
I fix broken hearts, I know I really can
If your broken heart needs repair
I'm the man to see. I whisper sweet things
You tell all your friends, and they'll come running to me
Here is the main thing I want to say
I'm busy twenty four hours a day
I fix broken hearts, I know I really can
Hey girls, gather round
Because of what I'm puttin' down
Oh, baby, I'm your handy man
I'm not the kind that uses pencil or rule
I'm handy with the love and I'm no fool
I fix broken hearts, I know I really can
If your broken heart needs repair
I'm the man to see. I whisper sweet things
You tell all your friends, and they'll come running to me
Here is the main thing I want to say
I'm busy twenty four hours a day",1:58,"Cub (US)
MGM (other)","Rock and roll, soul",23,2
1960,9,Elvis Presley,"""Stuck on You""",https://en.wikipedia.org/wiki/Stuck_on_You_(Elvis_Presley_song),https://www.songlyrics.com/elvis-presley/stuck-on-you-lyrics/,"You can shake an apple off an apple tree
Shake-a shake- sugar
But you'll never shake me
Uh-uh-uh
No-sir-ee, uh, uh
I'm gonna stick like glue
Stick because I'm
Stuck on you

Gonna run my fingers thru your long black hair
Squeeze you tighter than a grizzly bear
Uh-uh-uh
Yes-sir-ee uh uh
I'm gonna stick like glue
Stick because I'm
Stuck on you

Hide in the kitchen hide in the hall
Ain't gonna do you no good at all
'Cause once I catch ya and the kissin' starts
A team o' wild horses couldn't tear us apart

Try to take a tiger from his daddy's side
That's how love is gonna keep us tied
Uh-uh-uh
Yes-sir-ee uh uh
I'm gonna stick like glue
Stick, because I'm
Stuck on you",2:18,RCA Victor,"Rock and roll,blues",13,3
1960,10,Chubby Checker,"""The Twist""",https://en.wikipedia.org/wiki/The_Twist_(song),https://www.songlyrics.com/chubby-checker/the-twist-lyrics/,"Come on baby
Let's do the twist
Come on baby
Let's do the twist
Take me by my little hand
And go like this

E-yah twist
Baby, baby twist
Oh yeah, just like this

Come on little miss and do the twist

My daddy is sleepin'
And mama ain't around
Yeah, daddy just sleepin'
And mama ain't around
We're gonna twisty twisty twisty
'Til we tear the house down

Come on and twist
Yeah, baby twist
Oh yeah, just like this

Come on little miss and do the twist

E-yah

Yeah, you should see my little sis'

You should see my my little sis'

She really knows how to rock
She knows how to twist

Come on and twist
Yeah, baby twist
Oh yeah, just like this

Come on little miss and do the twist

Yeah
That's all now
Yeah, twist all night

Twist
('Round and 'round and 'round)",2:34,Parkway,"Pop, rock and roll",16,5
